Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,929.000000,1025.500000,888.099976,1013.000000,989.118591,129837507
2021-06-01,1016.000000,1050.000000,960.000000,1016.349976,992.389587,95828267
2021-07-01,1011.000000,1067.400024,963.049988,981.000000,957.872986,63843280
2021-08-01,991.799988,1055.000000,964.099976,992.400024,969.004272,65826032
2021-09-01,994.000000,1189.349976,984.150024,1111.900024,1091.040649,118969940
2021-10-01,1104.000000,1242.000000,1091.300049,1140.199951,1118.809570,78107827
2021-11-01,1158.000000,1240.099976,875.700012,883.000000,866.434814,133538464
2021-12-01,891.000000,968.000000,811.500000,888.150024,871.488159,118726943
2022-01-01,888.200012,950.000000,831.549988,872.099976,855.739258,87876828
2022-02-01,879.000000,990.000000,868.849976,920.700012,903.427551,99917705
2022-03-01,920.700012,949.500000,816.000000,935.400024,917.851746,85025552
2022-04-01,929.450012,1009.500000,929.150024,978.549988,960.192261,50140828
2022-05-01,972.000000,1029.000000,856.000000,930.849976,913.387024,70810030
2022-06-01,930.849976,953.799988,763.200012,794.349976,779.447876,55748830
2022-07-01,793.000000,1049.949951,783.000000,1043.500000,1023.923767,96478817
2022-08-01,1040.000000,1119.750000,1024.550049,1107.449951,1086.673950,60480017
2022-09-01,1097.650024,1275.800049,1086.000000,1185.199951,1172.338867,108061244
2022-10-01,1178.000000,1234.949951,1121.800049,1142.650024,1130.250610,85409041
2022-11-01,1146.500000,1205.449951,1117.000000,1167.800049,1155.127686,53348428
2022-12-01,1175.000000,1273.550049,1141.000000,1220.099976,1206.860107,60632839
2023-01-01,1220.099976,1273.400024,1055.000000,1082.949951,1071.198364,76676752
2023-02-01,1094.000000,1170.000000,990.000000,1077.699951,1066.005371,59310139
2023-03-01,1077.050049,1182.650024,990.200012,1067.949951,1056.361206,101209881
2023-04-01,1073.000000,1157.550049,1007.950012,1152.800049,1140.290527,57942344
2023-05-01,1152.800049,1297.400024,1065.349976,1286.599976,1272.638550,77456708
2023-06-01,1280.000000,1382.250000,1251.500000,1374.650024,1359.733032,68317192
2023-07-01,1379.949951,1446.000000,1345.150024,1417.750000,1417.750000,72232459
2023-08-01,1420.750000,1435.000000,1354.050049,1378.150024,1378.150024,51337021
2023-09-01,1382.000000,1475.650024,1376.199951,1428.849976,1428.849976,58121023
2023-10-01,1428.849976,1471.800049,1386.199951,1441.300049,1441.300049,64261839
2023-11-01,1443.900024,1538.500000,1427.150024,1466.099976,1466.099976,106732789
2023-12-01,1479.000000,1618.900024,1458.150024,1598.949951,1598.949951,52389473
2024-01-01,1598.949951,1694.500000,1428.050049,1534.050049,1534.050049,82358778
2024-02-01,1537.750000,1564.849976,1430.650024,1474.900024,1474.900024,64685516
2024-03-01,1480.000000,1571.500000,1422.699951,1553.000000,1553.000000,72722709
2024-04-01,1553.000000,1576.349976,1443.300049,1515.699951,1515.699951,67724262
2024-05-01,1515.699951,1521.300049,1377.250000,1461.849976,1461.849976,71479959
2024-06-01,1514.949951,1534.900024,1363.550049,1492.099976,1492.099976,34435840
