Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,16.250000,18.170000,15.740000,18.010000,17.703671,119359800
2021-06-01,18.040001,18.090000,16.820000,17.100000,16.809149,92504700
2021-07-01,17.110001,18.920000,17.020000,18.590000,18.273804,110157700
2021-08-01,18.510000,19.680000,18.340000,19.620001,19.343773,118170400
2021-09-01,19.750000,19.959999,18.860001,18.870001,18.604334,94742400
2021-10-01,18.870001,22.139999,18.340000,21.150000,20.852234,155414900
2021-11-01,21.330000,21.370001,18.420000,18.459999,18.200104,189797200
2021-12-01,18.990000,20.049999,18.240000,19.790001,19.511381,239189000
2022-01-01,20.340000,22.340000,20.270000,21.730000,21.424067,193697500
2022-02-01,21.770000,21.959999,18.410000,19.469999,19.195885,181314300
2022-03-01,19.150000,19.270000,16.360001,18.940001,18.673347,378371500
2022-04-01,19.250000,20.049999,18.809999,19.040001,18.771940,217018200
2022-05-01,19.190001,19.450001,17.430000,19.250000,18.978983,164239700
2022-06-01,19.450001,19.549999,17.070000,17.740000,17.490240,154011900
2022-07-01,17.639999,20.830000,17.610001,20.780001,20.487442,150069200
2022-08-01,20.830000,22.639999,20.629999,21.840000,21.532518,160607500
2022-09-01,21.840000,23.490000,20.510000,20.969999,20.797970,172261100
2022-10-01,20.799999,23.020000,20.320000,22.040001,21.859194,175112800
2022-11-01,22.180000,23.750000,21.879999,23.719999,23.525410,192474900
2022-12-01,23.450001,23.490000,21.340000,21.889999,21.710423,149935300
2023-01-01,22.100000,22.139999,19.920000,20.830000,20.659119,182030700
2023-02-01,20.760000,21.040001,20.030001,20.680000,20.510349,129675000
2023-03-01,20.709999,21.700001,19.340000,21.580000,21.402966,131936800
2023-04-01,21.690001,22.750000,21.219999,22.750000,22.563368,86159100
2023-05-01,22.730000,23.180000,22.350000,22.920000,22.731974,77704900
2023-06-01,22.670000,23.230000,22.490000,23.080000,22.890659,82153400
2023-07-01,23.240000,24.799999,22.920000,24.570000,24.368437,73858200
2023-08-01,24.410000,24.549999,22.780001,23.170000,22.979921,92152800
2023-09-01,23.500000,24.110001,22.610001,23.120001,23.120001,78289300
2023-10-01,23.020000,23.139999,21.889999,22.190001,22.190001,91908600
2023-11-01,22.240000,23.080000,22.020000,22.170000,22.170000,115418700
2023-12-01,22.520000,25.040001,22.500000,23.840000,23.840000,112967300
2024-01-01,23.510000,24.900000,23.160000,24.400000,24.400000,170192900
2024-02-01,24.459999,25.980000,23.540001,25.610001,25.610001,103023400
2024-03-01,26.320000,26.660000,25.750000,26.410000,26.410000,108868700
2024-04-01,26.340000,27.799999,25.270000,27.530001,27.530001,113579600
2024-05-01,27.590000,27.719999,26.250000,26.740000,26.740000,76701800
2024-05-31,26.770000,26.779900,26.540001,26.740000,26.740000,3814916
