Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,727.650024,791.900024,713.750000,769.549988,753.870544,263029100
2021-06-01,773.099976,901.000000,638.099976,703.700012,689.362244,691052260
2021-07-01,706.000000,737.000000,654.200012,674.500000,665.386292,217234081
2021-08-01,682.000000,754.000000,665.000000,748.299988,738.189087,197702290
2021-09-01,750.049988,786.000000,733.000000,737.900024,727.929626,101033201
2021-10-01,735.849976,829.900024,681.150024,693.000000,683.636353,116983309
2021-11-01,705.000000,774.299988,679.700012,683.849976,674.609924,80732848
2021-12-01,695.000000,794.950012,682.750000,730.299988,720.432312,107958087
2022-01-01,732.000000,795.000000,689.000000,716.299988,706.621460,98067038
2022-02-01,721.000000,750.849976,651.950012,707.500000,697.940430,90693007
2022-03-01,707.500000,781.000000,663.549988,774.200012,763.739197,109284362
2022-04-01,774.500000,924.650024,774.500000,856.400024,844.828552,189647877
2022-05-01,850.000000,864.200012,668.150024,739.849976,729.853333,140748278
2022-06-01,739.799988,758.500000,653.099976,672.049988,662.969360,76722247
2022-07-01,670.000000,775.650024,656.000000,763.700012,753.381042,60685265
2022-08-01,770.000000,891.900024,765.049988,842.150024,836.526306,143682882
2022-09-01,841.799988,987.849976,801.000000,820.650024,815.169861,197471660
2022-10-01,821.000000,835.000000,771.650024,823.549988,818.050476,114721617
2022-11-01,827.700012,916.000000,823.500000,881.000000,875.116882,163279545
2022-12-01,884.750000,912.000000,785.299988,818.099976,812.636841,108663134
2023-01-01,823.000000,826.750000,537.000000,612.650024,608.558838,231070475
2023-02-01,627.000000,629.000000,395.100006,592.450012,588.493774,549832517
2023-03-01,598.000000,722.750000,571.549988,631.900024,627.680298,310686036
2023-04-01,638.549988,683.000000,622.150024,681.299988,676.750427,71696086
2023-05-01,681.299988,785.650024,656.750000,738.849976,733.916077,175302405
2023-06-01,730.500000,759.900024,703.000000,739.250000,734.313416,134902058
2023-07-01,744.500000,780.000000,708.000000,777.849976,772.655640,60561333
2023-08-01,778.950012,869.000000,751.549988,792.200012,792.200012,187567549
2023-09-01,780.000000,889.500000,779.650024,825.150024,825.150024,137577432
2023-10-01,825.150024,845.450012,754.500000,784.750000,784.750000,63920642
2023-11-01,784.750000,854.400024,767.200012,825.500000,825.500000,83341589
2023-12-01,839.200012,1102.400024,825.500000,1024.349976,1024.349976,212022930
2024-01-01,1026.550049,1229.900024,1023.000000,1207.650024,1207.650024,168682761
2024-02-01,1213.599976,1343.000000,1200.300049,1320.500000,1320.500000,77449571
2024-03-01,1335.000000,1358.699951,1188.099976,1341.849976,1341.849976,65846077
2024-04-01,1356.800049,1424.949951,1270.000000,1324.900024,1324.900024,84607519
2024-05-01,1324.900024,1457.050049,1240.000000,1437.400024,1437.400024,97391701
2024-06-01,null,null,null,null,null,null
